Timestamp,Average Viewers,Live Views,New Followers,Chatters,Chat Messages,Ad Breaks,New Subscriptions,Clips Created,Clip Views,Reactions Hype,Reactions Funny,Reactions Love,Reactions Whaaat?,Reactions Oh No!
12:10 PM,2,4,0,1,2,0,0,0,0,0,0,0,0,0
12:11 PM,3,1,0,2,4,0,0,0,0,0,0,0,0,0
12:12 PM,3,0,0,1,1,0,0,0,0,0,0,0,0,0
12:13 PM,3,2,0,1,2,0,0,0,0,0,0,0,0,0
12:14 PM,3,0,0,0,0,0,0,0,0,0,0,0,0,0
12:15 PM,4,1,0,1,1,0,0,0,0,0,0,0,0,0
12:16 PM,4,0,0,0,0,0,0,0,0,0,0,0,0,0
12:17 PM,4,0,0,0,0,0,0,0,0,0,0,0,0,0
12:18 PM,5,0,0,0,0,0,0,0,0,0,0,0,0,0
12:19 PM,4,0,0,0,0,0,0,0,0,0,0,0,0,0
12:20 PM,4,0,0,0,0,0,0,0,0,0,0,0,0,0
12:21 PM,4,0,0,0,0,0,0,0,0,0,0,0,0,0
12:22 PM,4,0,0,0,0,0,0,0,0,0,0,0,0,0
12:23 PM,4,0,0,3,3,0,0,0,0,0,0,0,0,0
12:24 PM,4,0,0,0,0,0,0,0,0,0,0,0,0,0
12:25 PM,4,0,0,0,0,0,0,0,0,0,0,0,0,0
12:26 PM,5,0,0,0,0,0,0,0,0,0,0,0,0,0
12:27 PM,5,0,0,0,0,0,0,0,0,0,0,0,0,0
12:28 PM,4,1,0,0,0,0,0,0,0,0,0,0,0,0
12:29 PM,4,0,0,0,0,0,0,0,0,0,0,0,0,0
12:30 PM,4,1,0,0,0,0,0,0,0,0,0,0,0,0
12:31 PM,4,0,0,0,0,0,0,0,0,0,0,0,0,0
12:32 PM,4,0,0,1,1,0,0,0,0,0,0,0,0,0
12:33 PM,9,1,0,1,1,0,0,0,0,0,0,0,0,0
12:34 PM,7,0,0,1,1,0,0,0,0,0,0,0,0,0
12:35 PM,7,0,0,0,0,0,0,0,0,0,0,0,0,0
12:36 PM,7,0,0,0,0,0,0,0,0,0,0,0,0,0
12:37 PM,6,2,0,0,0,0,0,0,0,0,0,0,0,0
12:38 PM,8,2,0,2,2,0,0,0,0,0,0,0,0,0
12:39 PM,9,0,0,2,3,0,0,0,0,0,0,0,0,0
12:40 PM,7,1,0,3,7,0,0,0,0,0,0,0,0,0
12:41 PM,7,0,0,1,1,0,0,0,0,0,0,0,0,0
12:42 PM,9,1,0,0,0,0,0,0,0,0,0,0,0,0
12:43 PM,9,0,0,0,0,0,0,0,0,0,0,0,0,0
12:44 PM,7,0,0,0,0,0,0,0,0,0,0,0,0,0
12:45 PM,7,0,0,2,2,0,0,0,0,0,0,0,0,0
12:46 PM,7,0,0,0,0,0,0,0,0,0,0,0,0,0
12:47 PM,7,0,0,0,0,0,0,0,0,0,0,0,0,0
12:48 PM,9,0,0,0,0,0,0,0,0,0,0,0,0,0
12:49 PM,9,1,0,0,0,0,0,0,0,0,0,0,0,0
12:50 PM,9,1,0,1,1,0,0,0,0,0,0,0,0,0
12:51 PM,9,0,0,1,1,0,0,0,0,0,0,0,0,0
12:52 PM,9,0,0,2,2,0,0,0,0,0,0,0,0,0
12:53 PM,8,0,0,0,0,0,0,0,0,0,0,0,0,0
12:54 PM,8,0,0,0,0,0,0,0,0,0,0,0,0,0
12:55 PM,9,0,0,0,0,0,0,0,0,0,0,0,0,0
12:56 PM,9,0,0,0,0,0,0,0,0,0,0,0,0,0
12:57 PM,9,0,0,1,1,0,0,0,0,0,0,0,0,0
12:58 PM,9,0,0,2,3,0,0,0,0,0,0,0,0,0
12:59 PM,9,0,0,2,2,0,0,0,0,0,0,0,0,0
1:00 PM,8,1,0,1,1,0,0,0,0,0,0,0,0,0
1:01 PM,9,2,0,2,2,0,0,0,0,0,0,0,0,0
1:02 PM,9,0,0,2,2,0,0,0,0,0,0,0,0,0
1:03 PM,9,0,0,1,1,0,0,0,0,0,0,0,0,0
1:04 PM,9,0,0,0,0,0,0,0,0,0,0,0,0,0
1:05 PM,9,1,0,1,1,0,0,0,0,0,0,0,0,0
1:06 PM,13,0,0,0,0,0,0,0,0,0,0,0,0,0
1:07 PM,13,0,0,0,0,0,0,0,0,0,0,0,0,0
1:08 PM,13,0,0,0,0,0,0,0,0,0,0,0,0,0
1:09 PM,13,0,1,0,0,0,0,0,0,0,0,0,0,0
1:10 PM,11,1,0,2,2,0,0,0,0,0,0,0,0,0
1:11 PM,14,0,0,0,0,0,0,0,0,0,0,0,0,0
1:12 PM,13,0,0,2,2,0,0,0,0,0,0,0,0,0
1:13 PM,13,0,0,0,0,0,0,0,0,0,0,0,0,0
1:14 PM,13,0,0,0,0,0,0,0,0,0,0,0,0,0
1:15 PM,11,0,0,1,1,0,0,0,0,0,0,0,0,0
1:16 PM,12,0,0,1,1,0,0,0,0,0,0,0,0,0
1:17 PM,13,0,0,0,0,0,0,0,0,0,0,0,0,0
1:18 PM,13,0,0,0,0,0,0,0,0,0,0,0,0,0
1:19 PM,12,0,0,0,0,0,0,0,0,0,0,0,0,0
1:20 PM,11,0,0,0,0,0,0,0,0,0,0,0,0,0
1:21 PM,11,0,0,0,0,0,0,0,0,0,0,0,0,0
1:22 PM,13,1,0,1,1,0,0,0,0,0,0,0,0,0
1:23 PM,13,0,0,0,0,0,0,0,0,0,0,0,0,0
1:24 PM,13,0,0,0,0,0,0,0,0,0,0,0,0,0
