Timestamp,Average Viewers,Live Views,New Followers,Chatters,Chat Messages,Ad Breaks,New Subscriptions,Clips Created,Clip Views,Reactions Hype,Reactions Funny,Reactions Love,Reactions Whaaat?,Reactions Oh No!
10:58 AM,1,2,0,0,0,0,0,0,0,0,0,0,0,0
10:59 AM,2,0,0,0,0,0,0,0,0,0,0,0,0,0
11:00 AM,2,0,0,0,0,180,0,0,0,0,0,0,0,0
11:01 AM,2,0,0,0,0,0,0,0,0,0,0,0,0,0
11:02 AM,2,0,0,0,0,0,0,0,0,0,0,0,0,0
11:03 AM,2,1,0,0,0,0,0,0,0,0,0,0,0,0
11:04 AM,2,1,0,2,3,0,0,0,0,0,0,0,0,0
11:05 AM,2,0,0,0,0,0,0,0,0,0,0,0,0,0
11:06 AM,4,1,0,0,0,0,0,0,0,0,0,0,0,0
11:07 AM,5,0,0,0,0,0,0,0,0,0,0,0,0,0
11:08 AM,5,1,0,0,0,0,0,0,0,0,0,0,0,0
11:09 AM,6,1,0,2,2,0,0,0,0,0,0,0,0,0
11:10 AM,6,2,0,1,1,0,0,0,0,0,0,0,0,0
11:11 AM,8,6,0,0,0,0,0,0,0,0,0,0,0,0
11:12 AM,12,1,0,0,0,0,0,0,0,0,0,0,0,0
11:13 AM,6,0,0,3,3,0,0,0,0,0,0,0,0,0
11:14 AM,7,1,0,0,0,0,0,0,0,0,0,0,0,0
11:15 AM,7,0,0,0,0,0,0,0,0,0,0,0,0,0
11:16 AM,7,1,0,0,0,0,0,0,0,0,0,0,0,0
11:17 AM,10,2,0,0,0,0,0,0,0,0,0,0,0,0
11:18 AM,9,0,0,1,1,0,0,0,0,0,0,0,0,0
11:19 AM,8,1,0,1,1,0,0,0,0,0,0,0,0,0
11:20 AM,9,0,0,0,0,0,0,0,0,0,0,0,0,0
11:21 AM,9,0,0,0,0,0,0,0,0,0,0,0,0,0
11:22 AM,9,0,0,0,0,0,0,0,0,0,0,0,0,0
11:23 AM,9,0,0,0,0,0,0,0,0,0,0,0,0,0
11:24 AM,9,0,0,0,0,0,0,0,0,0,0,0,0,0
11:25 AM,9,0,0,0,0,0,0,0,0,0,0,0,0,0
11:26 AM,9,0,0,0,0,0,0,0,0,0,0,0,0,0
11:27 AM,9,0,0,1,1,0,0,0,0,0,0,0,0,0
11:28 AM,9,0,0,2,2,0,0,0,0,0,0,0,0,0
11:29 AM,9,0,0,0,0,0,0,0,0,0,0,0,0,0
11:30 AM,11,2,0,0,0,0,0,0,0,0,0,0,0,0
11:31 AM,10,0,0,0,0,0,0,0,0,0,0,0,0,0
11:32 AM,10,0,0,1,2,0,0,0,0,0,0,0,0,0
11:33 AM,10,0,0,1,2,0,0,0,0,0,0,0,0,0
11:34 AM,10,0,0,1,1,0,0,0,0,0,0,0,0,0
11:35 AM,11,1,0,0,0,0,0,0,0,0,0,0,0,0
11:36 AM,11,0,0,0,0,0,0,0,0,0,0,0,0,0
11:37 AM,11,2,0,0,0,0,0,0,0,0,0,0,0,0
11:38 AM,14,1,0,0,0,0,0,0,0,0,0,0,0,0
11:39 AM,11,0,0,0,0,0,0,0,0,0,0,0,0,0
11:40 AM,11,1,0,0,0,0,0,0,0,0,0,0,0,0
11:41 AM,12,0,0,0,0,0,0,0,0,0,0,0,0,0
11:42 AM,12,0,0,0,0,0,0,0,0,0,0,0,0,0
11:43 AM,11,0,0,0,0,0,0,0,0,0,0,0,0,0
11:44 AM,11,0,0,0,0,0,0,0,0,0,0,0,0,0
11:45 AM,11,0,0,0,0,0,0,0,0,0,0,0,0,0
11:46 AM,12,1,0,0,0,0,0,0,0,0,0,0,0,0
11:47 AM,12,0,0,0,0,0,0,0,0,0,0,0,0,0
11:48 AM,12,1,0,0,0,0,0,0,0,0,0,0,0,0
11:49 AM,11,0,0,0,0,0,0,0,0,0,0,0,0,0
11:50 AM,11,0,0,0,0,0,0,0,0,0,0,0,0,0
11:51 AM,11,0,0,0,0,0,0,0,0,0,0,0,0,0
11:52 AM,11,0,0,0,0,0,0,0,0,0,0,0,0,0
11:53 AM,11,1,0,0,0,0,0,0,0,0,0,0,0,0
11:54 AM,12,0,0,0,0,0,0,0,0,0,0,0,0,0
11:55 AM,12,0,0,0,0,0,0,0,0,0,0,0,0,0
11:56 AM,11,0,0,0,0,0,0,0,0,0,0,0,0,0
11:57 AM,11,1,0,0,0,0,0,0,0,0,0,0,0,0
11:58 AM,12,2,0,0,0,0,0,0,0,0,0,0,0,0
11:59 AM,14,0,0,3,4,0,0,0,0,0,0,0,0,0
12:00 PM,13,0,0,1,1,0,0,0,0,0,0,0,0,0
12:01 PM,13,0,0,1,2,0,0,0,0,0,0,0,0,0
12:02 PM,14,0,1,2,4,0,0,0,0,0,0,0,0,0
12:03 PM,13,0,0,0,0,0,0,0,0,0,0,0,0,0
12:04 PM,13,0,0,0,0,0,0,0,0,0,0,0,0,0
12:05 PM,14,0,0,1,1,0,0,0,0,0,0,0,0,0
12:06 PM,14,1,0,3,7,0,0,0,0,0,0,0,0,0
12:07 PM,14,0,0,3,6,0,0,0,0,0,0,0,0,0
12:08 PM,14,0,0,2,4,0,0,0,0,0,0,0,0,0
12:09 PM,14,0,0,2,2,0,0,0,0,0,0,0,0,0
12:10 PM,14,0,0,2,3,0,0,0,0,0,0,0,0,0
12:11 PM,15,2,0,2,3,0,0,0,0,0,0,0,0,0
12:12 PM,15,0,0,2,5,0,0,0,0,0,0,0,0,0
12:13 PM,15,0,0,1,2,0,0,0,0,0,0,0,0,0
12:14 PM,14,0,0,2,2,0,0,0,0,0,0,0,0,0
12:15 PM,14,0,0,1,1,0,0,0,0,0,0,0,0,0
12:16 PM,14,0,0,2,2,0,0,0,0,0,0,0,0,0
12:17 PM,14,0,0,2,4,0,0,0,0,0,0,0,0,0
12:18 PM,14,0,0,0,0,0,0,0,0,0,0,0,0,0
12:19 PM,14,0,0,1,3,0,0,0,0,0,0,0,0,0
12:20 PM,13,0,0,0,0,0,0,0,0,0,0,0,0,0
12:21 PM,13,0,0,1,1,0,0,0,0,0,0,0,0,0
12:22 PM,13,0,0,1,4,0,0,0,0,0,0,0,0,0
12:23 PM,13,0,0,0,0,0,0,0,0,0,0,0,0,0
12:24 PM,14,0,0,1,3,0,0,0,0,0,0,0,0,0
12:25 PM,12,0,0,1,2,0,0,0,0,0,0,0,0,0
12:26 PM,12,0,0,0,0,0,0,0,0,0,0,0,0,0
12:27 PM,12,0,0,0,0,0,0,0,0,0,0,0,0,0
12:28 PM,12,0,0,1,1,0,0,0,0,0,0,0,0,0
12:29 PM,12,0,0,1,3,0,0,0,0,0,0,0,0,0
