Timestamp,Average Viewers,Live Views,New Followers,Chatters,Chat Messages,Ad Breaks,New Subscriptions,Clips Created,Clip Views,Reactions Hype,Reactions Funny,Reactions Love,Reactions Whaaat?,Reactions Oh No!
1:36 PM,1,1,0,0,0,180,0,0,0,0,0,0,0,0
1:37 PM,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1:38 PM,2,2,0,0,0,0,0,0,0,0,0,0,0,0
1:39 PM,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1:40 PM,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1:41 PM,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1:42 PM,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1:43 PM,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1:44 PM,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1:45 PM,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1:46 PM,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1:47 PM,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1:48 PM,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1:49 PM,4,0,0,1,1,0,0,0,0,0,0,0,0,0
1:50 PM,3,2,0,0,0,0,0,0,0,0,0,0,0,0
1:51 PM,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1:52 PM,3,0,0,1,1,0,0,0,0,0,0,0,0,0
1:53 PM,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1:54 PM,4,1,0,1,3,0,0,0,0,0,0,0,0,0
1:55 PM,5,1,0,1,1,0,0,0,0,0,0,0,0,0
1:56 PM,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1:57 PM,5,1,0,0,0,0,0,0,0,0,0,0,0,0
1:58 PM,5,1,0,1,1,0,0,0,0,0,0,0,0,0
1:59 PM,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2:00 PM,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2:01 PM,8,3,1,1,1,0,0,0,0,0,0,0,0,0
2:02 PM,8,0,0,0,0,0,0,0,0,0,0,0,0,0
2:03 PM,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2:04 PM,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2:05 PM,6,0,0,1,1,0,0,0,0,0,0,0,0,0
2:06 PM,5,1,0,1,1,0,0,0,0,0,0,0,0,0
2:07 PM,6,0,0,1,2,0,0,0,0,0,0,0,0,0
2:08 PM,7,1,0,0,0,0,0,0,0,0,0,0,0,0
2:09 PM,8,1,0,1,1,0,0,0,0,0,0,0,0,0
2:10 PM,6,0,0,2,5,0,0,0,0,0,0,0,0,0
2:11 PM,6,1,0,0,0,0,0,0,0,0,0,0,0,0
2:12 PM,7,0,0,2,2,0,0,0,0,0,0,0,0,0
2:13 PM,7,0,0,2,3,0,0,0,0,0,0,0,0,0
2:14 PM,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2:15 PM,7,0,0,1,1,0,0,0,0,0,0,0,0,0
2:16 PM,7,0,0,1,1,0,0,0,0,0,0,0,0,0
2:17 PM,8,0,0,2,2,0,0,0,0,0,0,0,0,0
2:18 PM,7,0,0,2,3,0,0,0,0,0,0,0,0,0
2:19 PM,7,0,0,1,2,0,0,0,0,0,0,0,0,0
2:20 PM,6,0,0,1,1,0,0,0,0,0,0,0,0,0
2:21 PM,7,0,0,1,1,0,0,0,0,0,0,0,0,0
2:22 PM,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2:23 PM,7,0,0,1,2,0,0,0,0,0,0,0,0,0
2:24 PM,7,0,0,1,1,0,0,0,0,0,0,0,0,0
2:25 PM,8,1,0,2,2,0,0,0,0,0,0,0,0,0
2:26 PM,8,0,0,1,1,0,0,0,0,0,0,0,0,0
2:27 PM,8,1,0,0,0,0,0,0,0,0,0,0,0,0
2:28 PM,8,0,0,1,1,0,0,0,0,0,0,0,0,0
2:29 PM,8,0,0,1,1,0,0,0,0,0,0,0,0,0
2:30 PM,8,0,0,1,1,0,0,0,0,0,0,0,0,0
2:31 PM,9,1,0,1,1,0,0,0,0,0,0,0,0,0
2:32 PM,9,0,0,0,0,0,0,0,0,0,0,0,0,0
