Timestamp,Average Viewers,Live Views,New Followers,Chatters,Chat Messages,Ad Breaks,New Subscriptions,Clips Created,Clip Views,Reactions Hype,Reactions Funny,Reactions Love,Reactions Whaaat?,Reactions Oh No!
12:55 PM,4,0,0,1,3,0,0,0,0,0,0,0,0,0
12:56 PM,3,0,0,0,0,0,0,0,0,0,0,0,0,0
12:57 PM,4,0,0,0,0,0,0,0,0,0,0,0,0,0
12:58 PM,4,0,0,0,0,0,0,0,0,0,0,0,0,0
12:59 PM,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1:00 PM,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1:01 PM,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1:02 PM,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1:03 PM,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1:04 PM,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1:05 PM,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1:06 PM,5,1,0,0,0,0,0,0,0,0,0,0,0,0
1:07 PM,5,0,0,1,1,0,0,0,0,0,0,0,0,0
1:08 PM,5,0,0,1,2,0,0,0,0,0,0,0,0,0
1:09 PM,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1:10 PM,5,0,0,1,1,0,0,0,0,0,0,0,0,0
1:11 PM,5,0,0,1,1,0,0,0,0,0,0,0,0,0
1:12 PM,6,0,0,1,3,0,0,0,0,0,0,0,0,0
1:13 PM,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1:14 PM,5,1,0,0,0,0,0,0,0,0,0,0,0,0
1:15 PM,4,0,0,1,1,0,0,0,0,0,0,0,0,0
1:16 PM,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1:17 PM,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1:18 PM,4,0,0,1,3,0,0,0,0,0,0,0,0,0
1:19 PM,4,0,0,1,3,0,0,0,0,0,0,0,0,0
1:20 PM,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1:21 PM,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1:22 PM,4,0,0,1,1,0,0,0,0,0,0,0,0,0
1:23 PM,4,1,0,1,1,0,0,0,0,0,0,0,0,0
1:24 PM,5,0,0,1,2,0,0,0,0,0,0,0,0,0
1:25 PM,4,0,0,1,2,0,0,0,0,0,0,0,0,0
1:26 PM,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1:27 PM,5,1,0,1,2,0,0,0,0,0,0,0,0,0
1:28 PM,5,0,0,1,2,0,0,0,0,0,0,0,0,0
1:29 PM,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1:30 PM,4,2,0,1,1,0,0,0,0,0,0,0,0,0
1:31 PM,4,1,0,2,3,0,0,0,0,0,0,0,0,0
1:32 PM,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1:33 PM,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1:34 PM,4,0,0,1,1,0,0,0,0,0,0,0,0,0
1:35 PM,4,0,0,1,1,0,0,0,0,0,0,0,0,0
1:36 PM,4,0,0,1,2,0,0,0,0,0,0,0,0,0
1:37 PM,5,1,0,1,1,0,0,0,0,0,0,0,0,0
1:38 PM,5,0,0,1,3,0,0,0,0,0,0,0,0,0
1:39 PM,5,0,0,1,1,0,0,0,0,0,0,0,0,0
1:40 PM,5,1,0,1,2,0,0,0,0,0,0,0,0,0
1:41 PM,6,0,0,1,1,0,0,0,0,0,0,0,0,0
1:42 PM,5,0,0,1,2,0,0,0,0,0,0,0,0,0
1:43 PM,4,1,0,1,2,0,0,0,0,0,0,0,0,0
1:44 PM,4,0,0,1,1,0,0,0,0,0,0,0,0,0
1:45 PM,5,0,0,1,3,0,0,0,0,0,0,0,0,0
1:46 PM,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1:47 PM,5,0,0,1,1,0,0,0,0,0,0,0,0,0
1:48 PM,5,0,0,1,3,0,0,0,0,0,0,0,0,0
1:49 PM,5,0,0,1,3,0,0,0,0,0,0,0,0,0
1:50 PM,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1:51 PM,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1:52 PM,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1:53 PM,6,1,0,0,0,0,0,0,0,0,0,0,0,0
1:54 PM,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1:55 PM,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1:56 PM,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1:57 PM,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1:58 PM,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1:59 PM,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2:00 PM,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2:01 PM,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2:02 PM,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2:03 PM,5,0,0,1,4,0,0,0,0,0,0,0,0,0
2:04 PM,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2:05 PM,5,0,0,1,2,0,0,0,0,0,0,0,0,0
2:06 PM,6,1,0,0,0,0,0,0,0,0,0,0,0,0
2:07 PM,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2:08 PM,6,1,0,2,4,0,0,0,0,0,0,0,0,0
2:09 PM,8,1,0,2,3,0,0,0,0,0,0,0,0,0
2:10 PM,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2:11 PM,7,0,0,1,1,0,0,0,0,0,0,0,0,0
2:12 PM,6,0,0,1,3,0,0,0,0,0,0,0,0,0
2:13 PM,6,1,0,2,3,0,0,0,0,0,0,0,0,0
2:14 PM,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2:15 PM,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2:16 PM,6,1,0,0,0,0,0,0,0,0,0,0,0,0
2:17 PM,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2:18 PM,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2:19 PM,8,2,0,0,0,0,0,0,0,0,0,0,0,0
2:20 PM,10,1,0,1,1,0,0,0,0,0,0,0,0,0
2:21 PM,12,0,0,2,2,0,0,0,0,0,0,0,0,0
2:22 PM,11,0,0,1,1,0,0,0,0,0,0,0,0,0
2:23 PM,12,1,0,0,0,0,0,0,0,0,0,0,0,0
2:24 PM,12,0,0,1,2,0,0,0,0,0,0,0,0,0
2:25 PM,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2:26 PM,11,0,0,1,1,0,0,0,0,0,0,0,0,0
2:27 PM,10,0,0,1,1,0,0,0,0,0,0,0,0,0
2:28 PM,10,0,0,0,0,0,0,0,0,0,0,0,0,0
2:29 PM,10,0,0,1,1,0,0,0,0,0,0,0,0,0
2:30 PM,10,0,0,0,0,0,0,0,0,0,0,0,0,0
2:31 PM,11,1,0,0,0,0,0,0,0,0,0,0,0,0
2:32 PM,13,0,0,0,0,0,0,0,0,0,0,0,0,0
2:33 PM,10,0,0,0,0,0,0,0,0,0,0,0,0,0
2:34 PM,10,2,0,0,0,0,0,0,0,0,0,0,0,0
2:35 PM,15,3,0,1,2,0,0,0,0,0,0,0,0,0
2:36 PM,14,2,0,0,0,0,0,0,0,0,0,0,0,0
2:37 PM,13,0,0,1,1,0,0,0,0,0,0,0,0,0
2:38 PM,13,0,0,0,0,0,0,0,0,0,0,0,0,0
2:39 PM,13,0,0,0,0,0,0,0,0,0,0,0,0,0
2:40 PM,13,0,0,0,0,0,0,0,0,0,0,0,0,0
2:41 PM,12,0,0,0,0,0,0,0,0,0,0,0,0,0
2:42 PM,12,0,0,0,0,0,0,0,0,0,0,0,0,0
2:43 PM,12,0,0,1,2,0,0,0,0,0,0,0,0,0
2:44 PM,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2:45 PM,10,0,0,0,0,0,0,0,0,0,0,0,0,0
