Timestamp,Average Viewers,Live Views,New Followers,Chatters,Chat Messages,Ad Breaks,New Subscriptions,Clips Created,Clip Views,Reactions Hype,Reactions Funny,Reactions Love,Reactions Whaaat?,Reactions Oh No!
10:04 PM,1,1,0,1,1,0,0,0,0,0,0,0,0,0
10:05 PM,3,1,0,1,1,0,0,0,0,0,0,0,0,0
10:06 PM,2,0,0,1,1,0,0,0,0,0,0,0,0,0
10:07 PM,2,0,0,2,3,0,0,0,0,0,0,0,0,0
10:08 PM,3,0,0,1,2,0,0,0,0,0,0,0,0,0
10:09 PM,3,0,0,1,2,0,0,0,0,0,0,0,0,0
10:10 PM,3,0,0,1,1,0,0,0,0,0,0,0,0,0
10:11 PM,3,1,0,1,2,0,0,0,0,0,0,0,0,0
10:12 PM,5,1,0,1,1,0,0,0,0,0,0,0,0,0
10:13 PM,4,0,0,1,2,0,0,0,0,0,0,0,0,0
10:14 PM,4,1,0,1,1,0,0,0,0,0,0,0,0,0
10:15 PM,6,1,0,1,1,0,0,0,0,0,0,0,0,0
10:16 PM,5,1,0,1,1,0,0,0,0,0,0,0,0,0
10:17 PM,6,1,0,1,3,0,0,0,0,0,0,0,0,0
10:18 PM,5,0,0,1,1,0,0,0,0,0,0,0,0,0
10:19 PM,4,0,0,1,1,0,0,0,0,0,0,0,0,0
10:20 PM,4,0,0,1,1,0,0,0,0,0,0,0,0,0
10:21 PM,4,0,0,1,2,0,0,0,0,0,0,0,0,0
10:22 PM,5,1,0,1,1,0,0,0,0,0,0,0,0,0
10:23 PM,4,1,0,1,2,0,0,0,0,0,0,0,0,0
10:24 PM,5,0,0,1,2,0,0,0,0,0,0,0,0,0
10:25 PM,5,0,0,1,1,0,0,0,0,0,0,0,0,0
10:26 PM,5,0,0,0,0,0,0,0,0,0,0,0,0,0
10:27 PM,5,0,0,2,2,0,0,0,0,0,0,0,0,0
10:28 PM,5,0,0,0,0,0,0,0,0,0,0,0,0,0
10:29 PM,5,0,0,1,3,0,0,0,0,0,0,0,0,0
10:30 PM,7,2,0,2,6,0,0,0,0,0,0,0,0,0
10:31 PM,7,1,0,2,2,0,0,0,0,0,0,0,0,0
10:32 PM,7,0,0,1,1,0,0,0,0,0,0,0,0,0
10:33 PM,7,0,0,1,1,0,0,0,0,0,0,0,0,0
10:34 PM,7,0,0,2,2,0,0,0,0,0,0,0,0,0
10:35 PM,6,0,0,1,1,0,0,0,0,0,0,0,0,0
10:36 PM,6,1,0,0,0,0,0,0,0,0,0,0,0,0
10:37 PM,8,1,0,2,2,0,0,0,0,0,0,0,0,0
10:38 PM,9,1,0,2,2,0,0,0,0,0,0,0,0,0
10:39 PM,8,0,0,1,1,0,0,0,0,0,0,0,0,0
10:40 PM,8,2,0,3,3,0,0,0,0,0,0,0,0,0
10:41 PM,9,0,0,1,1,0,0,0,0,0,0,0,0,0
10:42 PM,9,2,0,3,4,0,0,0,0,0,0,0,0,0
10:43 PM,9,0,0,3,6,0,0,0,0,0,0,0,0,0
10:44 PM,10,2,0,1,1,0,0,0,0,0,0,0,0,0
10:45 PM,11,0,0,4,4,0,0,0,0,0,0,0,0,0
10:46 PM,12,0,0,2,3,0,0,0,0,0,0,0,0,0
10:47 PM,11,1,0,1,1,0,0,0,0,0,0,0,0,0
10:48 PM,12,1,1,4,4,0,0,0,0,0,0,0,0,0
10:49 PM,11,2,0,1,1,0,0,0,0,0,0,0,0,0
10:50 PM,12,1,0,2,3,0,0,0,0,0,0,0,0,0
10:51 PM,11,0,0,0,0,0,0,0,0,0,0,0,0,0
10:52 PM,11,1,0,1,1,0,0,0,0,0,0,0,0,0
10:53 PM,12,0,0,1,1,0,0,0,0,0,0,0,0,0
10:54 PM,11,1,0,1,1,0,0,0,0,0,0,0,0,0
10:55 PM,12,1,0,1,2,0,0,0,0,0,0,0,0,0
10:56 PM,11,0,0,0,0,0,0,0,0,0,0,0,0,0
10:57 PM,10,1,0,0,0,0,0,0,0,0,0,0,0,0
10:58 PM,10,0,0,0,0,0,0,0,0,0,0,0,0,0
10:59 PM,10,0,0,0,0,0,0,0,0,0,0,0,0,0
11:00 PM,9,0,0,1,1,0,0,0,0,0,0,0,0,0
11:01 PM,10,0,0,0,0,0,0,0,0,0,0,0,0,0
11:02 PM,10,3,0,0,0,0,0,0,0,0,0,0,0,0
11:03 PM,12,0,0,0,0,0,0,0,0,0,0,0,0,0
11:04 PM,10,0,0,1,1,0,0,0,0,0,0,0,0,0
11:05 PM,10,0,0,1,1,0,0,0,0,0,0,0,0,0
11:06 PM,10,0,0,0,0,0,0,0,0,0,0,0,0,0
11:07 PM,10,0,0,0,0,0,0,0,0,0,0,0,0,0
11:08 PM,11,1,0,0,0,0,0,0,0,0,0,0,0,0
11:09 PM,10,0,0,1,1,0,0,0,0,0,0,0,0,0
11:10 PM,10,0,0,1,1,0,0,0,0,0,0,0,0,0
11:11 PM,8,0,0,1,1,0,0,0,0,0,0,0,0,0
11:12 PM,8,0,0,0,0,0,0,0,0,0,0,0,0,0
11:13 PM,8,1,0,0,0,0,0,0,0,0,0,0,0,0
11:14 PM,8,0,0,0,0,0,0,0,0,0,0,0,0,0
